year,status,major,gender,gpa,salary
2012,grad_school,math,male,3.2,none
2012,employed,biology,female,3.8,27000
2012,grad_school,psychology,female,4,none
2012,employed,psychology,male,3.5,32000
2012,employed,economics,female,4,28000
2012,employed,psychology,female,3.9,48000
2012,employed,biology,male,3,48000
2012,employed,economics,male,3.1,30000
2012,grad_school,math,male,2.5,none
2012,employed,economics,male,3.6,86000
2012,employed,biology,male,4,50000
2012,employed,biology,female,2.8,34000
2012,grad_school,math,male,3.6,none
2012,grad_school,economics,female,2.4,none
2012,employed,economics,male,2.3,44000
2012,volunteering,economics,female,2.4,none
2012,employed,math,male,3.8,98000
2012,employed,economics,female,3.5,27000
2012,employed,economics,male,3.5,32000
2012,grad_school,economics,male,2.9,none
2012,employed,economics,male,3.8,26000
2012,employed,economics,male,2.3,26000
2012,employed,biology,female,2.5,59000
2012,internship,economics,male,3.3,none
2012,employed,economics,male,3.5,65000
2012,employed,biology,male,3.2,26000
2012,internship,psychology,male,2.9,none
2012,employed,math,female,3.7,35000
2012,employed,economics,male,3.6,52000
2012,employed,economics,female,3.6,56000
2012,internship,english,female,3.2,none
2012,employed,economics,male,3.7,83000
2012,employed,economics,male,2.8,85000
2012,internship,psychology,female,3.1,none
2012,employed,economics,female,2.2,28000
2012,grad_school,economics,female,2.8,none
2012,employed,psychology,female,2.6,40000
2012,employed,biology,female,2.2,25000
2012,employed,economics,female,3.5,29000
2012,job_search,economics,male,2.6,none
2012,grad_school,psychology,male,2.8,none
2012,employed,economics,female,2.9,64000
2012,grad_school,psychology,female,3,none
2012,employed,math,male,3.5,71000
2012,employed,math,female,2.2,53000
2012,fellowship,biology,female,2.7,none
2012,employed,biology,female,3.2,51000
2012,grad_school,biology,female,3,none
2012,employed,economics,female,3.1,55000
2012,grad_school,economics,female,3.1,none
2012,job_search,spanish,male,2.1,none
2012,employed,math,female,3.1,34000
2012,employed,economics,male,2.9,50000
2012,employed,economics,female,4,99000
2012,employed,psychology,male,2.6,42000
2012,grad_school,biology,female,2.8,none
2012,grad_school,economics,male,3.7,none
2012,employed,math,female,3.2,31000
2012,employed,economics,male,2.6,56000
2012,grad_school,biology,female,3.6,none
2012,employed,psychology,male,3.9,58000
2012,employed,psychology,male,3.2,79000
2012,employed,economics,male,3.1,32000
2012,employed,economics,female,2.2,97000
2012,employed,economics,female,3.9,34000
2012,employed,economics,male,3.7,41000
2012,employed,math,female,2.2,78000
2012,employed,math,male,2.5,55000
2012,employed,economics,female,3,59000
2012,employed,psychology,male,2.7,26000
2012,grad_school,economics,male,3.5,none
2012,employed,economics,male,2.8,76000
2012,employed,biology,female,2.2,59000
2012,grad_school,math,male,3.1,none
2012,employed,math,female,2.8,50000
2012,grad_school,psychology,male,3.8,none
2012,grad_school,psychology,male,3.1,none
2012,volunteering,psychology,male,3.8,none
2012,employed,economics,female,2.1,55000
2012,fellowship,math,male,3.2,none
2012,employed,economics,male,3.6,45000
2012,grad_school,english,male,3.2,none
2012,employed,economics,female,3.9,35000
2012,grad_school,english,male,3,none
2012,employed,economics,male,3.9,80000
2012,employed,economics,male,3.1,43000
2012,employed,biology,female,3.5,27000
2012,employed,psychology,male,3.5,55000
2012,grad_school,psychology,female,3.8,none
2012,employed,economics,female,3.2,28000
2012,employed,math,male,3.7,35000
2012,employed,economics,male,2.1,76000
2012,employed,economics,female,2.3,46000
2012,grad_school,math,male,4,none
2012,grad_school,economics,female,3.1,none
2012,job_search,psychology,male,2.9,none
2012,internship,biology,female,2.2,none
2012,employed,biology,female,2.6,35000
2012,employed,psychology,female,3.1,33000
2012,grad_school,economics,male,3.1,none
2012,employed,psychology,male,3.8,25000
2012,employed,math,male,3.7,89000
2012,employed,biology,male,2.3,27000
2012,grad_school,economics,female,2.7,none
2012,employed,economics,male,3.3,65000
2012,employed,economics,female,2.3,32000
2012,grad_school,economics,female,3.2,none
2012,employed,biology,female,2.9,54000
2012,employed,economics,female,2.9,60000
2012,employed,economics,female,3.3,56000
2012,grad_school,biology,male,3.9,none
2012,grad_school,psychology,female,2.3,none
2012,grad_school,biology,male,2.6,none
2012,employed,economics,male,3.7,82000
2012,employed,psychology,female,3.7,35000
2012,volunteering,english,male,3.2,none
2012,employed,economics,female,2.4,50000
2012,employed,psychology,female,3.8,34000
2012,employed,economics,female,2.8,95000
2012,employed,psychology,female,2.9,33000
2012,employed,economics,male,3.6,75000
2012,job_search,english,male,2.6,none
2012,employed,math,female,3.1,78000
2012,employed,economics,male,2.9,32000
2012,internship,biology,female,2.8,none
2012,grad_school,economics,male,3.7,none
2012,employed,economics,female,2.8,84000
2012,employed,math,female,3.3,60000
2012,grad_school,economics,male,2.5,none
2012,employed,economics,female,2.9,92000
2012,job_search,english,male,3.2,none
2012,grad_school,economics,female,3.6,none
2012,employed,economics,female,3.7,80000
2012,employed,math,male,2.4,50000
2012,employed,math,female,2.9,48000
2012,grad_school,economics,male,3.9,none
2012,employed,economics,male,4,88000
2012,grad_school,biology,female,3,none
2012,employed,biology,male,3.1,29000
2012,employed,math,female,3.2,32000
2012,employed,psychology,male,2.9,28000
2012,grad_school,economics,male,2.6,none
2012,grad_school,math,male,3.5,none
2012,employed,math,female,3.7,33000
2012,employed,economics,female,2.1,73000
2012,employed,biology,female,4,29000
2012,employed,economics,female,3.2,59000
2012,grad_school,economics,male,3.3,none
2012,fellowship,spanish,female,2.8,none
2012,employed,biology,male,3.2,25000
2012,employed,biology,male,2.8,53000
2012,employed,economics,female,2.3,77000
2012,employed,economics,female,3,50000
2012,fellowship,economics,female,2.4,none
2012,employed,psychology,male,3,28000
2012,employed,math,male,3.5,44000
2012,employed,math,male,3.2,55000
2012,employed,psychology,male,2.1,30000
2012,employed,economics,female,3.3,33000
2012,employed,economics,female,3.8,26000
2012,employed,economics,female,2.2,42000
2012,grad_school,economics,male,3.6,none
2012,grad_school,economics,female,3.3,none
2012,employed,math,female,2.3,29000
2012,employed,psychology,male,3.8,48000
2012,employed,economics,male,2.6,46000
2012,employed,math,female,3.5,59000
2012,grad_school,economics,female,2.4,none
2012,employed,economics,female,3.7,42000
2012,employed,economics,female,2.4,96000
2012,employed,math,male,2.2,79000
2012,employed,math,male,3.3,33000
2012,employed,psychology,female,2.5,34000
2012,internship,economics,male,3.8,none
2012,internship,spanish,female,3.1,none
2012,employed,economics,female,3.6,47000
2012,employed,economics,male,3.2,29000
2012,grad_school,economics,female,2.7,none
2012,employed,math,male,2.4,33000
2012,employed,biology,male,3,53000
2012,employed,math,female,2.8,63000
2012,employed,biology,male,2.6,30000
2012,employed,biology,female,3.9,26000
2012,employed,math,female,3.9,76000
2012,volunteering,english,female,2.1,none
2012,grad_school,economics,male,2.2,none
2012,employed,economics,female,3.2,49000
2012,internship,biology,female,3.1,none
2012,employed,math,female,2.5,40000
2012,employed,economics,female,2.8,82000
2012,employed,economics,male,2.7,86000
2012,employed,math,male,2.2,60000
2012,employed,economics,female,3.9,44000
2012,employed,economics,male,3.9,58000
2012,employed,math,female,3.5,31000
2012,employed,economics,male,3,58000
2012,volunteering,economics,female,2.8,none
2012,internship,biology,male,2.6,none
2012,employed,psychology,female,3.9,63000
2012,employed,economics,male,2.2,72000
2012,employed,economics,male,4,59000
2012,employed,economics,female,3.3,33000
2012,employed,economics,male,3,46000
2012,grad_school,economics,male,2.6,none
2012,employed,economics,male,3.1,58000
2012,employed,economics,male,3.3,97000
2012,grad_school,psychology,female,3.8,none
2012,employed,economics,female,3.9,95000
2012,employed,math,male,4,99000
2012,employed,math,female,3.8,53000
2012,employed,economics,female,3.3,34000
2012,employed,math,female,3,30000
2012,grad_school,spanish,male,2.9,none
2012,employed,economics,male,2.8,59000
2012,employed,math,female,3.6,59000
2012,employed,psychology,female,2.2,31000
2012,employed,psychology,female,3.2,56000
2012,employed,biology,female,3.7,25000
2012,employed,biology,female,3.3,55000
2012,employed,economics,female,2.2,28000
2012,grad_school,economics,male,2.5,none
2012,employed,economics,female,3.2,77000
2012,grad_school,psychology,male,2.7,none
2012,grad_school,economics,female,3,none
2012,employed,economics,male,3.3,65000
2012,volunteering,spanish,female,3.1,none
2012,employed,math,female,2.8,50000
2012,grad_school,math,female,3.1,none
2012,grad_school,biology,female,3.5,none
2012,grad_school,economics,male,2.3,none
2012,employed,biology,female,3.2,71000
2012,employed,economics,male,3.9,27000
2012,employed,economics,female,3.2,52000
2012,employed,math,female,2.8,59000
2012,employed,psychology,female,3.1,59000
2012,employed,economics,female,2.1,33000
2012,grad_school,psychology,male,3.3,none
2012,grad_school,psychology,male,2.2,none
2012,employed,psychology,male,3.1,34000
2012,employed,economics,female,3.2,54000
2012,grad_school,english,female,3.5,none
2012,employed,economics,male,3.2,81000
2012,employed,economics,female,2.8,87000
2012,volunteering,psychology,male,3.1,none
2012,employed,economics,female,2.1,64000
2012,employed,economics,male,3.8,32000
2012,employed,economics,female,3.7,59000
2012,employed,math,male,3.7,74000
2012,employed,psychology,male,2.6,26000
2012,employed,math,male,2.9,27000
2012,employed,math,female,3.3,56000
2012,employed,economics,female,2.4,26000
2012,employed,psychology,male,3.5,26000
2012,internship,english,female,3.1,none
2012,employed,economics,male,3.1,52000
2012,internship,biology,female,3,none
2012,employed,psychology,female,3.2,28000
2012,grad_school,biology,female,3.5,none
2012,employed,economics,female,3.3,55000
2012,employed,biology,female,3.7,61000
2012,job_search,english,male,3.3,none
2012,grad_school,biology,male,3,none
2012,employed,math,female,3.6,72000
2012,employed,biology,female,3.1,61000
2012,employed,economics,male,3.2,88000
2012,grad_school,math,male,3.3,none
2012,employed,economics,male,2.4,60000
2012,employed,math,male,2.4,57000
2012,employed,biology,female,3.6,30000
2012,employed,psychology,male,4,81000
2012,employed,math,male,2.2,62000
2012,grad_school,biology,male,2.1,none
2012,employed,math,female,2.8,79000
2012,employed,math,male,2.1,44000
2012,employed,economics,male,3.8,97000
2012,employed,psychology,female,3.1,59000
2012,fellowship,english,male,3.7,none
2012,internship,biology,female,3.7,none
2012,employed,economics,female,2.3,52000
2012,employed,economics,female,3.2,86000
2012,volunteering,spanish,female,4,none
2012,employed,biology,male,3.9,40000
2012,employed,math,male,4,52000
2012,grad_school,psychology,female,2.1,none
2012,employed,economics,male,2.7,71000
2012,grad_school,economics,male,3.9,none
2012,employed,economics,male,3.6,65000
2012,grad_school,math,male,2.5,none
2012,employed,math,male,2.3,31000
2012,grad_school,economics,male,3.1,none
2012,grad_school,biology,male,3,none
2012,employed,biology,female,3.9,29000
2012,employed,economics,male,3.6,25000
2012,grad_school,economics,female,2.1,none
2012,employed,economics,female,2.1,64000
2012,employed,psychology,male,3.8,53000
2012,grad_school,english,male,2.1,none
2012,internship,psychology,male,2.5,none
2012,grad_school,math,male,2.8,none
2012,employed,economics,female,3.5,47000
2012,employed,biology,male,3.8,30000
2012,employed,economics,female,3.7,82000
2012,employed,economics,female,4,40000
2012,grad_school,math,male,3.1,none
2012,fellowship,spanish,male,2.7,none
2012,employed,economics,male,3.1,44000